"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"9",248.960700671318,248.960612411678,248.960822801643,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,79514,76798,74180,79184,76473,76738,80911,81368,72466,"[1][M]-","","69",76798
"937",206.972639733548,206.972039139336,206.973062915347,94.4267312549923,92.989164845944,94.5157602079676,9,3,3,3,35279,31125,31935,32573,47906,33314,28930,27273,25935,"[211][M]-","","104",31935
"327",197.807925452039,197.807697711589,197.808310778066,105.698225071184,104.26110808904,106.560971378891,8,3,2,3,8464,8472,8605,11400,4956,890,20429,11683,6953,"","","176",8472
"5306",751.639783113677,751.639643079039,751.639923148316,120.783023022472,119.061644087034,122.504401957911,2,0,0,2,603,554,631,0,0,0,1164,1144,1100,"","","885",603
"329",187.042082253938,187.041615511762,187.042679537254,128.521343232988,127.083176557804,128.662761387243,9,3,3,3,5190,4543,4949,2688,3648,12726,2532,2383,2251,"","","227",3648
"7426",191.01979565948,191.01979565948,191.01979565948,138.54956292824,138.54956292824,138.54956292824,1,0,0,1,2559,2314,2395,683,726,3106,4297,3874,3852,"","","314",2559
"336",481.097656332522,481.095273477667,481.099019025913,154.506862705646,152.583360698672,154.781024074318,9,3,3,3,7137,6657,6612,3659,3260,4122,10345,9463,7933,"[63][M]-","","244",6657
"378",735.144718615896,735.143159107163,735.146015720851,186.640243005076,185.231275730608,186.92609050366,6,3,0,3,4728,4106,4462,0,0,0,9884,9389,8117,"","","248",4462
"496",945.156553328854,945.154507156238,945.158716620745,207.425579152363,206.702972278964,208.952019559397,9,3,3,3,5057,4414,4379,5769,4821,4541,4446,3329,2900,"[95][M]-","","301",4446
"382",385.02358295814,385.022892676066,385.024253595983,224.743221279602,223.324649729128,225.09767902972,9,3,3,3,17005,16492,16618,18987,25105,34520,6795,4837,4688,"[72][M]-","","134",16618
"450",727.147552342069,727.146447101511,727.148032399214,251.105088182368,250.776233444634,252.359509912484,6,3,0,3,7294,6695,6721,0,126,112,15151,14108,12502,"","","208",6721
"437",169.014620334808,169.014354058695,169.015176357731,264.832817279569,263.104843922193,265.277926988595,9,3,3,3,219586,202016,204388,215307,208555,213596,204682,200478,170319,"[81][M]-","","21",204682
"419",689.082375168864,689.081541834291,689.083471734897,274.855258948197,273.047798757957,275.322936570633,9,3,3,3,51372,46741,48856,56926,53127,54888,49495,37956,33108,"[80][M]-","","90",49495
"681",673.087533669975,673.087065565109,673.088111665417,296.907440224051,294.923145305886,297.421891259401,9,3,3,3,101222,94086,95145,107601,95512,91835,103672,76292,70289,"[135][M]-","","50",95145
"501",369.028777304976,369.028042483312,369.029326416962,316.39749856121,314.808739583017,317.511777225409,9,3,3,3,215345,195878,203339,306884,308352,363012,61832,51215,43639,"[98][M]-","","11",203339
"407",183.030257899109,183.030112475863,183.030887907374,332.987876073884,330.715099477564,333.582638940241,9,3,3,3,37352,33962,35811,38963,38768,38393,29606,28178,24529,"[75][M]-","","127",35811
"454",881.193190017544,881.192304579386,881.194318548722,343.610722798409,343.036895203596,344.415787793783,5,2,0,3,5578,5026,5029,1208,1376,1034,9651,9104,8457,"[87][M]-","","249",5029
"418",206.045958057159,206.045320428157,206.046768719074,355.072947775238,352.588870631654,355.682395172627,9,3,3,3,12660,11479,12444,11253,10993,11055,12992,13657,11588,"[79][M]-","","217",11588
"415",495.113131424816,495.112516948673,495.114239484462,373.07874115646,371.57754659692,373.762147761027,9,3,3,3,7748,7246,7192,2736,2607,3111,12431,11528,10759,"[77][M]-","","230",7246
"425",321.061569625849,321.060760815602,321.062335625755,385.158136824434,383.625872297787,385.817968651878,9,3,3,3,4670,3958,4189,2895,2857,2785,5953,5968,4835,"","","296",4189
"5328",701.103156471154,701.103113865209,701.103199077099,390.778931438642,389.714994984535,391.842867892748,2,0,0,2,2698,2661,2556,2272,2762,4752,1294,2639,2193,"","","1035",2639
"438",219.051024226045,219.050554898324,219.051759321656,404.451055385583,402.304077147074,405.906631654559,9,3,3,3,9298,8484,8948,10419,12841,13943,5415,5237,4518,"[82][M]-","","214",8948
"504",719.149690155306,719.14872894017,719.151610769473,422.219751458108,421.314303786244,423.559955384288,6,3,0,3,19079,16947,17857,0,119,0,38894,37437,32193,"","","128",17857
"9844",329.086724109914,329.086622077293,329.086826142534,438.973281332328,438.102118038151,439.844444626504,2,0,2,0,965,858,887,1107,1279,1204,626,622,548,"","","403",887
"682",673.087688917098,673.08649007451,673.088388297208,457.85625795962,457.278569641587,458.482150181103,9,3,3,3,87351,81061,83480,83448,78534,72630,101976,74094,69715,"[136][M]-","","52",81061
"525",603.10307050463,603.100001334401,603.104426147009,469.351544426036,467.874859143381,470.190860396916,8,3,2,3,3027,2506,2750,1247,1380,2357,3788,3973,3369,"","","330",2750
"552",153.019877717397,153.019688607753,153.020467454942,483.46731289959,481.852056959335,484.251088777989,9,3,3,3,36145,34251,32711,32759,30826,34714,32645,36299,30394,"[106][M]-","","133",32759
"615",609.125001903106,609.123201323575,609.125954765368,507.506813569519,505.394479397652,508.356581197473,9,3,3,3,11729,9685,10540,3890,3323,3536,18425,16453,15621,"[125][M]-","","188",10540
"7366",657.819834059294,657.819834059294,657.819834059294,525.572086677925,525.572086677925,525.572086677925,1,0,0,1,1587,0,0,1950,0,0,1223,0,657,"","","432",0
"739",657.092583732712,657.091475672264,657.09423466534,527.563637688554,524.176680228972,530.452082169925,9,3,3,3,426497,394609,402076,535640,510217,452758,313478,223353,212918,"[151][M]-","","5",402076
"482",657.80295670818,657.80295670818,657.80295670818,528.519634134069,528.519634134069,528.519634134069,1,1,0,0,1587,0,0,1950,0,0,1223,0,657,"","","432",0
"624",129.019632576494,129.019050012205,129.0205144473,542.009208826116,540.23782461758,542.526521217379,3,1,1,1,2217,1992,1980,2184,1997,2057,1769,1983,1705,"","","342",1992
"11055",865.18762893532,865.18762893532,865.18762893532,560.006540026174,560.006540026174,560.006540026174,1,1,0,0,10292,9747,9203,6759,5673,6529,12929,12853,12096,"[1617][M]-","","223",9747
"632",621.145058843639,621.144497458668,621.14662177281,578.070918301489,577.702488451035,578.661791267167,5,2,0,3,4001,3279,3597,410,465,163,19707,1990,4258,"[128][M]-","","179",3279
"854",632.100556555655,632.098626516402,632.102598035202,589.736505387698,588.54942449788,590.10625688951,6,3,0,3,1662,1361,1591,247,232,241,3896,2861,2655,"[187][M]2-","","331",1591
"719",175.061607319555,175.061062520413,175.062467387577,603.769226676616,601.179111289668,604.774782010368,9,3,3,3,53823,52880,51563,60202,60432,62720,39599,43063,35778,"[144][M]-","","86",52880
"760",593.129869541089,593.129026814504,593.131039586257,615.666863853006,613.793737224138,617.09424838572,9,3,3,3,182739,161545,169514,75119,67813,72402,286279,261238,243272,"[158][M]-","","16",169514
"588",150.020180117777,150.019558768947,150.020985071352,635.872526010434,634.164196739316,636.986187987979,9,3,3,3,14315,13232,13198,23534,21946,21476,1906,2044,1829,"[117][M]-","","156",13232
"579",382.53726317089,382.534769192363,382.537639125175,650.107258497193,648.578199991261,652.896864885282,4,3,1,0,1430,1306,1307,1593,1586,2596,911,996,766,"","","359",1307
"762",593.130012136801,593.128988810595,593.130984574852,659.782818258889,657.903627268739,660.849889694445,9,3,3,3,111914,99964,102566,66708,59098,65764,150572,135715,125777,"[160][M]-","","36",102566
"604",785.106542725204,785.104790850377,785.109691000642,672.377187282861,670.226633104541,676.756600778258,7,2,2,3,3259,2936,3229,1705,1519,1688,2314,6073,5198,"[120][M]-","","292",2936
"809",399.002397762605,399.001941670786,399.003554500745,683.565548849759,681.958166816444,684.592088433373,6,3,0,3,58875,51693,56323,32983,31188,34145,54296,82745,71648,"[171][M]-","","68",54296
"690",369.028679803274,369.027806433054,369.029454874363,700.057931300735,695.172464846977,706.563591322667,9,3,3,3,42143,38804,39000,56746,52967,50284,20565,18286,15443,"[137][M]-","","93",39000
"679",480.069457065026,480.068725729108,480.070784033586,722.545554179045,718.033638686795,728.428182365014,9,3,3,3,8956,7308,7960,4602,4222,4083,16431,12863,9840,"[134][M]2-","","203",7960
"808",399.002576115736,399.002087991913,399.003390376963,762.612718127338,760.106070949164,766.107532740528,9,3,3,3,190410,170766,176514,128291,122749,132817,174189,267667,235957,"[170][M]-","","18",174189
"9907",536.083091511981,536.083091511981,536.083091511981,790.094977165579,790.094977165579,790.094977165579,1,0,1,0,2101,1790,1998,2220,2164,2222,2049,2035,1771,"","","374",2049
"744",895.159718286916,895.158293869701,895.163992357999,822.415821192633,817.691649211429,827.913708288515,9,3,3,3,6177,5552,5685,3065,3065,3144,8942,7956,7098,"[153][M]-","","257",5685
"9905",201.04072469088,201.04072469088,201.04072469088,845.830257972156,845.830257972156,845.830257972156,1,0,1,0,1046,1081,1165,1200,1565,2256,621,542,529,"","","757",1081
"746",329.087984154729,329.087035432031,329.088147853499,846.552818108542,845.688883206378,848.2709096993,9,3,3,3,15090,13823,13913,8755,8488,9241,20215,20677,17293,"[154][M]-","","174",13913
"705",183.030474454991,183.029927394501,183.030854737262,858.53270190674,857.771108685494,859.859783162853,9,3,3,3,53289,48788,49347,52805,50068,53455,42534,45801,40758,"[140][M]-","","95",49347
"707",467.1185976841,467.117676517847,467.119416498955,868.557857023112,867.839901011509,869.718029778831,9,3,3,3,4199,3610,3718,3065,2916,3211,4572,4745,3867,"","","579",3718
"5407",495.112458945573,495.111611980219,495.113305910927,870.043774500954,866.173807798131,873.913741203776,2,0,0,2,1337,1286,1370,658,616,726,2074,2006,1683,"","","379",1337
"711",382.100052964552,382.099687942948,382.100910918965,887.089464072286,885.963487185836,889.622757024802,9,3,3,3,12557,11939,12470,19918,19721,20343,3924,3953,3620,"[141][M]-","","177",12470
"8519",657.092663356201,657.09167157577,657.093381125842,900.656803579899,899.133430229254,902.071055946237,5,2,3,0,5541,5160,5159,8637,8322,6921,2172,1566,1560,"","","259",5160
"775",509.12914718804,509.128251126253,509.130260127317,922.389523164398,920.925815705124,923.455938668714,9,3,3,3,31196,29097,28534,18345,16425,17172,42067,41377,36878,"[163][M]-","","116",29097
"761",593.129650468646,593.128648096662,593.130762207918,941.987609126997,940.318777089561,943.349440902054,9,3,3,3,56472,52071,52836,38556,34284,39570,71189,64356,60371,"[159][M]-","","75",52836
"787",701.115319459181,701.110851386215,701.117850896057,966.852654808226,963.928756589098,971.200037635133,9,3,3,3,16394,15475,15480,9253,8903,10645,19032,21434,19347,"[166][M]-","","169",15480
"737",481.131623934638,481.127275021892,481.135136143847,986.335294996706,984.902819626069,993.086238331277,9,3,3,3,13831,12188,12384,8151,7874,8095,17436,18296,15624,"[150][M]-","","151",12384
"801",181.050524528967,181.050274144124,181.051040877278,1000.94800911824,999.053726518116,1002.39503081086,9,3,3,3,10131,10058,10325,12397,11365,10849,8242,8063,7913,"[168][M]-","","231",10131
"827",623.088850114472,623.087669200509,623.090635189891,1020.83128937731,1018.95344304123,1021.78078549778,9,3,3,3,168680,148018,156644,145179,145910,165087,153448,164681,146439,"[175][M]-","","31",153448
"771",481.098454114704,481.097586929341,481.101200458366,1053.4434754572,1052.13000033977,1055.71233678511,6,3,0,3,3455,2921,3077,1419,1295,1403,5292,5370,4545,"[162][M]-","","310",3077
"11450",481.07654929139,481.073377321627,481.079721261153,1054.33308171788,1053.58457699489,1055.08158644088,2,0,2,0,3455,2921,3077,1419,1295,1403,5292,5370,4545,"","","310",3077
"805",153.019831337382,153.019255064479,153.020119079305,1073.68423246712,1070.70210586178,1075.39323026543,9,3,3,3,13313,12638,12252,16890,15346,15851,9026,9199,8031,"[169][M]-","","197",12638
"821",285.043735446779,285.043205557234,285.044788857321,1095.80845599273,1094.03647233108,1097.65698364841,9,3,3,3,17164,14722,15728,9948,9141,9303,23062,22869,21254,"[173][M]-","","159",15728
"11457",408.075491622127,408.075491622127,408.075491622127,1113.54044027,1113.54044027,1113.54044027,1,0,1,0,720,659,664,1398,1356,1331,0,111,116,"","","397",664
"830",295.046161893908,295.045537680724,295.046762250913,1138.131871415,1136.3962266755,1139.75286802895,9,3,3,3,77890,69429,74070,57394,57521,62447,86975,88584,79707,"[178][M]-","","60",74070
"867",419.097890399437,419.096833105615,419.098711540721,1160.2343382021,1157.85436552561,1163.62563664109,9,3,3,3,11453,10091,10296,7937,7528,6273,19320,10571,10562,"[191][M]-","","181",10296
"851",277.12311470489,277.122787345362,277.123294566334,1200.17636856893,1198.36710770228,1205.69184976813,6,3,3,0,1877,1479,1754,4058,3763,2900,656,152,217,"","","289",1754
"5432",401.086853205052,401.085384033681,401.087682572213,1203.59255973768,1203.12139178254,1203.9409666243,4,1,0,3,2709,2393,2484,418,386,411,6256,4035,3726,"[1202][M]-","","1028",2484
"905",849.155549198572,849.15444635663,849.157698430263,1217.06064944422,1213.15390619112,1218.00957731199,6,3,0,3,3114,2765,2992,1675,1515,1516,4953,4062,3917,"[200][M]-","","317",2992
