"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup"
"1",153.933291119979,153.932825851377,153.933667557799,18.222868995545,18.1239481430609,18.786962790908,9,3,3,3,1470,1303,1523,1321,1265,1373,1478,1538,1416,"","","69"
"2",154.927418374997,154.926894057811,154.92806846078,18.222868995545,18.1239481430609,18.786962790908,9,3,3,3,2171,2052,2371,2007,2022,2112,2099,2309,2196,"","","69"
"3",180.973273798045,180.97310529898,180.973490369573,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,20951,21034,20483,21606,20578,20084,21524,20709,20003,"","","69"
"4",198.923043604147,198.92239497967,198.923247638292,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4704,4869,5336,4403,4637,4862,4950,4725,5509,"","","69"
"5",199.921905813955,199.921304216977,199.92209188899,18.222868995545,16.152872468608,18.786962790908,9,3,3,3,3988,3778,4291,3440,3371,3982,3869,4138,4026,"","","69"
"6",200.920089340883,200.918880655278,200.920708221345,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2863,2910,2984,2329,2457,2832,2829,2928,3080,"","","69"
"7",202.918335214732,202.917691943774,202.919062923906,16.2206377842694,16.1183262382994,18.2050060743318,9,3,3,3,1817,1805,2059,1653,1628,1974,1718,1778,1873,"","","69"
"8",220.912819530529,220.910551938937,220.914521011965,18.204695354083,16.152872468608,18.4964079013597,8,3,2,3,1284,1181,1276,1057,1195,1279,1155,1240,1245,"","","69"
"9",248.960700671318,248.960612411678,248.960822801643,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,79514,76798,74180,79184,76473,76738,80911,81368,72466,"[1][M]-","","69"
"10",249.96434386168,249.963839059662,249.965287242995,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3829,3607,3234,3535,3210,3510,3686,3674,3388,"[1][M+1]-","","69"
"11",250.964856402834,250.963536735257,250.96584051992,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1417,1296,1241,1417,1387,1233,1281,1280,1307,"[1][M+2]-","","69"
"12",265.911091482507,265.909628493461,265.911387590487,18.2050060743318,16.7826568282714,18.4964079013597,9,3,3,3,3533,3148,3478,2966,2941,3248,3528,3589,3305,"","","69"
