	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
215	1050.25653596928	1050.25653596928	1050.25653596928	16.166	16.166	16.166	1	1	0	0	1327	NA	NA	NA	NA	NA	NA	NA	NA
216	1057.24039588182	1057.24039588182	1057.24039588182	16.166	16.166	16.166	1	1	0	0	1234	NA	NA	NA	NA	NA	NA	NA	NA
258	1185.23058821807	1185.23058821807	1185.23058821807	16.166	16.166	16.166	1	1	0	0	1158	NA	NA	NA	NA	NA	NA	NA	NA
261	1210.2569772034	1210.2569772034	1210.2569772034	16.166	16.166	16.166	1	1	0	0	1262	NA	NA	NA	NA	NA	NA	NA	NA
265	1234.75154788332	1234.74923240917	1234.75386335746	16.168	16.166	16.17	2	1	1	0	1458	NA	NA	NA	1681	NA	NA	NA	NA
93	767.839799334555	767.839550492692	767.841701440787	16.17	16.166	16.215	3	1	1	1	1218	NA	NA	NA	1069	NA	1330	NA	NA
243	1133.79020110473	1133.78284846904	1133.7947329528	16.17	16.166	16.227	3	1	2	0	1445	NA	NA	1375	1314	NA	NA	NA	NA
241	1117.74367904958	1117.74360352177	1117.74375457739	16.1715	16.166	16.177	2	2	0	0	1289	1172	NA	NA	NA	NA	NA	NA	NA
8669	1133.76386142693	1133.76386142693	1133.76386142693	16.172	16.172	16.172	1	1	0	0	NA	NA	1172	NA	NA	NA	NA	NA	NA
8670	1234.72275832299	1234.72275832299	1234.72275832299	16.172	16.172	16.172	1	1	0	0	NA	NA	1178	NA	NA	NA	NA	NA	NA
267	1252.72371766027	1252.7183253712	1252.72686995839	16.1735	16.166	16.227	4	2	2	0	1284	1255	NA	1219	1233	NA	NA	NA	NA
102	802.835160323577	802.83120703581	802.836604115316	16.177	16.166	18.002	7	3	2	2	1353	1404	1250	NA	1249	1278	1283	1270	NA
182	982.275137657648	982.271217500496	982.279301080269	16.177	16.166	18.002	7	3	1	3	1502	1201	1286	NA	1222	NA	1381	1318	1267
256	1183.73580858897	1183.73342047984	1183.74081558497	16.177	16.166	16.215	4	2	1	1	1249	NA	1214	NA	NA	1222	1239	NA	NA
138	895.758697641318	895.754717589746	895.765102005563	16.1795	16.166	18.002	8	3	2	3	1767	1629	2055	NA	1378	1636	1759	2090	1972
150	914.291013011975	914.287312147179	914.297203067606	16.1795	16.166	18.002	8	3	2	3	1494	1268	1319	NA	1220	1251	1286	1273	1187
8664	979.775351638163	979.76678292513	979.778056996971	16.1795	16.17	16.227	6	2	3	1	NA	1997	2129	2000	1801	2208	NA	NA	2346
205	1033.72209797748	1033.71959005378	1033.7254521133	16.1795	16.166	18.002	8	3	2	3	1560	1314	1557	NA	1127	1384	1459	1477	1518
8666	1047.76268204149	1047.75468779837	1047.76556025543	16.1795	16.17	16.227	6	2	3	1	NA	1771	1996	1896	1764	2064	NA	NA	1898
245	1141.76209021493	1141.75857480471	1141.76936986638	16.1795	16.166	18.002	8	3	3	2	1427	1413	1265	1395	1230	1444	1396	1596	NA
252	1167.72094921324	1167.71845883862	1167.72432816631	16.1795	16.166	18.002	6	3	1	2	1234	1148	1123	NA	NA	1202	NA	1269	1140
269	1285.70766610362	1285.70413071791	1285.71252362077	16.1795	16.166	16.227	4	2	2	0	1418	1218	NA	1266	NA	1140	NA	NA	NA
272	112.985594541132	112.985562236295	112.985607242067	16.182	16.166	18.002	9	3	3	3	23964	25346	23802	26713	25729	24184	25254	23778	24077
3	180.973273798045	180.97310529898	180.973490369573	16.182	16.166	18.002	9	3	3	3	20951	21034	20483	21606	20578	20084	21524	20709	20003
4	198.923043604147	198.92239497967	198.923247638292	16.182	16.166	18.002	9	3	3	3	4704	4869	5336	4403	4637	4862	4950	4725	5509
6	200.920089340883	200.918880655278	200.920708221345	16.182	16.166	18.002	9	3	3	3	2863	2910	2984	2329	2457	2832	2829	2928	3080
9	248.960700671318	248.960612411678	248.960822801643	16.182	16.166	18.002	9	3	3	3	79514	76798	74180	79184	76473	76738	80911	81368	72466
